No. of Adults,No. of Children,No. of Infants,Type of Journey (O = one way R = Return),Payment Amount,No. of days prior to departure
3,0,0,R,55062,1.417025463
2,0,0,O,9587.25,8.411238426
2,0,0,R,16357.64,1.221354167
1,0,0,R,4139,10.3319213
1,0,0,O,4681.39,6.501157407
1,0,0,O,6354.99,93.09934028
1,0,0,R,4139,2.2003125
4,0,0,R,39808.91,0.169224537
1,0,0,O,4904.2,0.310439815
1,0,0,O,5164.66,0.190115741
1,0,0,O,4793.63,43.02556713
1,0,0,R,10200.6,24.61756944
4,0,0,R,38880,38.13150463
2,0,0,O,9890.19,15.2453125
1,0,0,O,4681.39,1.238564815
2,0,0,R,24652.61,1.258148148
1,0,0,R,7924,8.148414352
1,0,0,O,4071.51,24.64809028
3,0,0,O,14670.6,74.35421296
4,0,0,R,42660.48,1.343518519
2,0,0,R,16133.16,2.229282407
1,0,0,O,5479.71,0.198136574
1,0,0,O,4992.09,2.220844907
2,0,0,O,8143.02,27.16922454
1,0,0,O,4071.51,27.16190972
2,0,0,R,19528,45.42739583
1,0,0,O,4124.19,39.17449074
1,0,0,O,4124.19,4.584583333
1,0,0,O,5472.71,0.32380787
1,0,0,R,7924.37,0.959467593
2,0,0,O,9876.4,6.472175926
1,0,0,R,3800.76,51.26048611
1,0,0,R,4070,40.59957176
2,0,0,R,21419.92,0.528842593
1,0,0,R,4139,1.369490741
1,0,0,O,4950.09,2.352719907
2,0,0,O,8587.26,0.533263889
4,0,0,R,17739.86,83.3634838
1,0,0,R,4427.58,1.048402778
1,0,0,O,8027.59,80.60599537
1,0,0,O,4793.63,10.14721065
2,0,0,R,8480,7.569976852
2,0,0,R,9080.11,1.256215278
3,0,0,O,14044.16,0.426099537
1,0,0,O,4793.63,1.457094907
1,0,0,R,5097.45,71.17875
2,0,0,R,8856.15,33.20733796
1,0,0,R,7924.37,13.34575231
1,0,0,R,7924.37,40.54534722
2,0,0,O,8143.02,4.513576389
1,0,0,R,9106.52,42.36003472
1,0,0,O,4071.51,3.203402778
2,0,0,R,15848.75,3.368275463
3,0,0,O,12214.52,0.3440625
4,0,0,R,33944.64,58.14868056
1,0,0,O,4681.39,0.397974537
1,0,0,O,4681.39,2.567384259
1,0,0,O,4071.51,9.420034722
1,0,0,R,7924.37,20.60244213
2,0,0,O,8143.02,7.517314815
1,0,0,O,4051.38,91.9755787
1,0,0,O,4051.38,1.429166667
1,0,0,O,4071.51,2.334976852
1,0,0,R,3873.38,59.08885417
3,3,0,O,12153.29,35.44065972
1,0,0,O,4051.38,35.35460648
1,0,0,O,4124.19,9.524965278
1,0,0,O,5016.09,0.121226852
2,0,0,R,20291.22,0.834918981
1,0,0,O,5437.71,13.2508912
2,0,0,R,9973.43,18.55091435
1,0,0,O,5123.29,1.295219907
1,0,0,O,5432.71,0.088333333
1,0,0,O,4945.09,17.07304398
1,0,0,R,4142,91.17486111
1,0,0,R,4142,91.16537037
1,0,0,R,4139,1.417025463
3,0,0,O,14859.27,14.40762731
1,0,0,O,4793.63,3.243032407
2,0,0,O,9906.18,2.048460648
1,0,0,O,4793.63,4.595856481
1,0,0,O,4793.63,0.508703704
1,0,0,R,10651,22.33905093
1,0,0,O,4945.09,26.24641204
1,0,0,R,4243,61.23784722
1,0,0,O,10646.61,1.066979167
1,0,0,O,5164.66,1.045219907
1,0,0,O,4890.2,80.01065972
2,0,0,R,16664.75,4.265740741
1,0,0,O,5416.71,0.083668981
2,0,0,O,8143.02,0.485775463
7,0,0,O,32267.07,95.37241898
1,0,0,O,4628.71,2.232384259
1,0,0,R,10036.23,25.01101852
1,0,0,O,4681.39,0.451655093
1,0,0,R,7924.37,7.473414352
1,0,0,O,4924.2,0.367013889
1,0,0,O,4051.38,1.206956019
1,0,0,O,4051.38,45.99140046
2,0,0,R,7615.94,58.28853009
1,0,0,R,4135,2.944780093
1,0,0,R,20321.2,75.34824074
1,0,0,O,5007.09,1.722465278
1,0,0,R,3800.76,0.285462963
4,0,0,R,15494.28,52.14296296
2,0,0,O,9978,0.371759259
5,0,0,O,26197.94,70.57078704
2,0,0,O,8362.78,34.40210648
1,0,0,R,10041.22,16.94300926
1,0,0,O,4902.2,26.41072917
1,0,0,O,4950.09,121.2206944
1,0,0,O,5491.11,0.155034722
1,0,0,R,4539.82,0.454189815
1,0,0,O,4681.39,2.576655093
1,0,0,O,4904.2,72.36891204
2,0,1,O,11197.17,1.541006944
1,0,0,O,5440.71,1.48744213
1,0,0,O,5164.66,0.338090278
1,0,0,R,4540.06,18.29453704
1,0,0,R,4428.82,2.444814815
2,0,0,R,16335.64,0.495069444
2,0,0,O,9587.25,0.997280093
1,0,0,R,10200.6,15.4784375
1,0,0,R,7210.17,62.46074074
2,2,0,R,10185.06,61.30291667
1,0,0,O,4681.39,0.332615741
1,0,0,O,4071.51,0.306215278
1,0,0,O,4071.51,20.49668981
1,0,0,O,4071.51,20.48572917
2,0,0,R,15848.75,4.387569444
1,0,0,O,4071.51,4.009247685
1,0,0,O,5533.11,2.313055556
2,0,0,R,18026.34,51.39675926
1,0,0,R,3873.38,0.278657407
2,0,0,O,8102.76,66.096875
1,0,0,O,4051.38,66.08386574
1,0,0,O,5162.29,1.1478125
1,0,0,O,4071.51,2.303969907
1,0,0,R,4070,86.10252315
1,0,0,R,4356.77,40.02346065
1,0,0,O,4124.19,0.436412037
1,0,0,R,3800.76,2.55162037
1,0,0,R,10064.23,3.469710648
1,0,0,O,4071.51,0.314340278
2,0,0,R,8140,122.0629282
1,0,0,O,4922.2,1.432013889
2,0,0,O,9900.19,2.465023148
2,0,0,R,8278,2.147696759
1,0,0,R,4539.82,3.356296296
1,0,0,O,4902.2,14.07756944
1,0,0,O,4681.39,18.28751157
1,0,0,O,5164.66,0.548055556
1,0,0,R,10047.22,1.303518519
1,0,0,R,11408.9,20.43398148
2,0,0,R,13528.03,67.39980324
1,1,1,O,4342,34.15311343
1,0,0,R,11019,34.13998843
1,0,0,R,4427.58,22.24865741
1,0,0,R,10081.61,13.99946759
1,0,0,O,5416.71,2.266284722
1,0,0,R,10665.12,0.371076389
1,0,0,O,6604.01,0.98099537
1,0,0,O,5476.4,1.593101852
2,0,0,R,19278,35.07537037
2,0,0,R,16972,62.09335648
2,0,0,R,15848.75,26.4455787
2,0,0,R,7747.14,2.883703704
3,0,0,R,23773.12,1.271666667
3,0,0,O,12372.56,32.08322917
2,2,0,R,7602.05,35.57612269
2,0,0,R,7602.53,66.24728009
2,0,0,R,9978.35,104.3097917
1,0,0,R,8678.82,15.42677083
1,0,0,O,4950.09,1.418298611
3,0,0,R,24199.74,21.19512731
4,2,0,O,10875.2,171.0387037
2,0,0,O,10809.2,171.0141551
1,0,0,O,4950.09,5.627905093
1,0,0,R,8566.58,26.2284375
1,0,0,R,8678.82,5.498553241
1,0,0,O,4900.2,1.963344907
2,0,0,O,9836,2.575625
2,0,0,R,9079.63,0.436423611
1,0,0,R,5094.25,10.02709491
1,0,0,O,5164.66,1.069722222
2,0,0,R,19306,13.41719907
1,0,0,R,11213,46.34030093
1,0,0,O,4793.63,15.05109954
1,0,0,O,4071.51,1.501238426
1,0,0,O,4071.51,0.375763889
1,0,0,R,7924.37,7.455763889
1,0,0,O,4628.71,0.288159722
1,0,0,R,7924.37,35.50563657
1,0,0,R,11077.12,18.49863426
