Obs. No. ,Duration,History,Education,Amount of credit ,Saving Acct,Employment,Install_rate,Male_married,Gurantor,Resident,Real Estate,Age,Other installment,Rent,Job,Number of Dependents,Response
1,6,4,0,1169,4,4,4,0,0,4,1,67,0,0,2,1,1
2,48,2,0,5951,0,2,2,0,0,2,1,22,0,0,2,1,0
3,12,4,1,2096,0,3,2,0,0,3,1,49,0,0,1,2,1
4,42,2,0,7882,0,3,2,0,1,4,0,45,0,0,2,2,1
5,24,3,0,4870,0,2,3,0,0,4,0,53,0,0,2,2,0
6,36,2,1,9055,4,2,2,0,0,4,0,35,0,0,1,2,1
7,24,2,0,2835,2,4,3,0,0,4,0,53,0,0,2,1,1
8,36,2,0,6948,0,2,2,0,0,2,0,35,0,1,3,1,1
9,12,2,0,3059,3,3,2,0,0,4,1,61,0,0,1,1,1
10,30,4,0,5234,0,0,4,1,0,2,0,28,0,0,3,1,0
11,12,2,0,1295,0,1,3,0,0,1,0,25,0,1,2,1,0
12,48,2,0,4308,0,1,3,0,0,4,0,24,0,1,2,1,0
13,12,2,0,1567,0,2,1,0,0,1,0,22,0,0,2,1,1
14,24,4,0,1199,0,4,4,0,0,4,0,60,0,0,1,1,0
15,15,2,0,1403,0,2,2,0,0,4,0,28,0,1,2,1,1
16,24,2,0,1282,1,2,4,0,0,2,0,32,0,0,1,1,0
17,24,4,0,2424,4,4,4,0,0,4,0,53,0,0,2,1,1
18,30,0,0,8072,4,1,2,0,0,3,0,25,1,0,2,1,1
19,24,2,0,12579,0,4,4,0,0,2,0,44,0,0,3,1,0
20,24,2,0,3430,2,4,3,0,0,2,0,31,0,0,2,2,1
21,9,4,0,2134,0,2,4,0,0,4,0,48,0,0,2,1,1
22,6,2,0,2647,2,2,2,0,0,3,1,44,0,1,2,2,1
23,10,4,0,2241,0,1,1,0,0,3,1,48,0,1,1,2,1
24,12,4,0,1804,1,1,3,0,0,4,0,44,0,0,2,1,1
25,10,4,0,2069,4,2,2,1,0,1,0,26,0,0,2,1,1
26,6,2,0,1374,0,2,1,0,0,2,1,36,1,0,1,1,1
27,6,0,0,426,0,4,4,1,0,4,0,39,0,0,1,1,1
28,12,1,0,409,3,2,3,0,0,3,1,42,0,1,2,1,1
29,7,2,0,2415,0,2,3,0,1,2,1,34,0,0,2,1,1
30,60,3,0,6836,0,4,3,0,0,4,0,63,0,0,2,1,0
31,18,2,0,1913,3,1,3,1,0,3,1,36,1,0,2,1,1
32,24,2,0,4020,0,2,2,0,0,2,0,27,1,0,2,1,1
33,18,2,0,5866,1,2,2,0,0,2,0,30,0,0,2,1,1
34,12,4,0,1264,4,4,4,0,0,4,0,57,0,1,1,1,1
35,12,2,0,1474,0,1,4,0,0,1,0,33,1,0,3,1,1
36,45,4,0,4746,0,1,4,0,0,2,0,25,0,0,1,1,0
37,48,4,1,6110,0,2,1,0,0,3,0,31,1,0,2,1,1
38,18,2,0,2100,0,2,4,0,0,2,1,37,1,0,2,1,0
39,10,2,0,1225,0,2,2,0,0,2,0,37,0,0,2,1,1
40,9,2,0,458,0,2,4,0,0,3,1,24,0,0,2,1,1
41,30,2,0,2333,2,4,4,0,0,2,0,30,1,0,3,1,1
42,12,2,0,1158,2,2,3,0,0,1,0,26,0,0,2,1,1
43,18,3,0,6204,0,2,2,0,0,4,1,44,0,0,1,2,1
44,30,4,0,6187,1,3,1,1,0,4,0,24,0,1,2,1,1
45,48,4,0,6143,0,4,4,0,0,4,0,58,1,0,1,1,0
46,11,4,0,1393,0,1,4,0,0,4,0,35,0,0,3,1,1
47,36,2,0,2299,2,4,4,0,0,4,0,39,0,0,2,1,1
48,6,2,0,1352,2,0,1,0,0,2,0,23,0,1,0,1,1
49,11,4,0,7228,0,2,1,0,0,4,0,39,0,0,1,1,1
50,12,2,0,2073,1,2,4,0,0,2,1,28,0,0,2,1,1
51,24,3,0,2333,4,1,4,0,0,2,0,29,1,0,1,1,1
52,27,3,0,5965,0,4,1,0,0,2,0,30,0,0,3,1,1
53,12,2,0,1262,0,2,3,0,0,2,0,25,0,0,2,1,1
54,18,2,0,3378,4,2,2,0,0,1,0,31,0,0,2,1,1
55,36,3,0,2225,0,4,4,0,0,4,0,57,1,0,2,1,0
56,6,1,0,783,4,2,1,0,1,2,1,26,1,0,1,2,1
57,12,2,0,6468,4,0,2,0,0,1,0,52,0,0,3,1,0
58,36,4,0,9566,0,2,2,0,0,2,0,31,1,0,2,1,1
59,18,2,0,1961,0,4,3,0,0,2,0,23,0,0,3,1,1
60,36,4,0,6229,0,1,4,0,0,4,0,23,0,1,1,1,0
61,9,2,0,1391,0,2,2,1,0,1,1,27,1,0,2,1,1
62,15,4,0,1537,4,4,4,0,1,4,1,50,0,0,2,1,1
63,36,0,0,1953,0,4,4,0,0,4,0,61,0,0,3,1,0
64,48,0,0,14421,0,2,2,0,0,2,0,25,0,0,2,1,0
65,24,2,0,3181,0,1,4,0,0,4,0,26,0,0,2,1,1
66,27,2,0,5190,4,4,4,0,0,4,0,48,0,0,2,2,1
67,12,2,0,2171,0,1,2,0,0,2,0,29,1,0,2,1,1
68,12,2,0,1007,3,2,4,1,0,1,1,22,0,0,2,1,1
69,36,2,1,1819,0,2,4,0,0,4,0,37,1,0,2,1,0
70,36,2,0,2394,4,2,4,0,0,4,0,25,0,0,2,1,1
71,36,2,0,8133,0,2,1,0,0,2,0,30,1,0,2,1,1
72,7,4,0,730,4,4,4,0,0,2,0,46,0,1,1,1,1
73,8,4,0,1164,0,4,3,0,0,4,0,51,1,0,3,2,1
74,42,4,0,5954,0,3,2,0,0,1,1,41,1,0,1,1,1
75,36,2,1,1977,4,4,4,0,0,4,0,40,0,0,3,1,0
